"","url","id","age","comments","enjoyment","education","language","gender","os","screenW","screenH","browser","botSentence","nFails","condition","totalRT","delayBlue","delayPink","delayOrange","goal","goalClean","intention1","intention2","knowledge","goalRT","goalCleanRT","intention1RT","intention2RT","knowledgeRT","causeRT","delayRT","attention1RT","attention2RT","goalOrder","goalCleanOrder","intention1Order","intention2Order","knowledgeOrder","attention1","attentionBlue","attentionPink","attentionOrange","causeBlue","causePink","causeOrange","causeB&P","causeP&O","causeB&O","causeAll","causeOther","causeBlue_norm","causePink_norm","causeOrange_norm","causeB&P_norm","causeP&O_norm","causeB&O_norm","causeAll_norm","causeOther_norm","min","flat","max","atomic","atomic_norm","two_conjunct","two_conjunct_norm"
"42","https://pcl-study1mod.github.io/?PROLIFIC_PID=5ff61153d0b2851562588342&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da35dc3df822a155f37f8","5ff61153d0b2851562588342",21,NA,2,2,"Polish","Male","Windows",1920,1080,"Chrome","John says to Susan: It's a beautiful day, isn't it?",0,"condition 1",2.60741666666666,"10.0","3.0","0.0",9,4,9,9,9,2.46,5.077,2.515,3.086,3.388,23.009,16.591,8.995,7.782,3,1,4,5,2,2,1,1,0,7,7,1,9,4,4,5,1,0.2,0.2,0,0.266666666666667,0.1,0.1,0.133333333333333,0,1,FALSE,3.75,5,0.133333333333333,5.66666666666667,0.155555555555556
"43","https://pcl-study1mod.github.io/?PROLIFIC_PID=5e8e06cbdf10df0a811b6f29&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da35c1397e03d8ff7923b","5e8e06cbdf10df0a811b6f29",26,NA,2,4,"portuhuese","Female","Windows",1280,720,"Chrome","John says to Jennifer: It's a beautiful day, isn't it?",0,"condition 1",2.67986666666666,"10.0","20.0","0.0",5,3,5,6,6,2.048,3.149,4.815,11.189,4.671,20.038,13.666,10.742,4.173,4,2,5,1,3,2,1,1,0,4,4,1,9,1,1,1,1,0.214285714285714,0.214285714285714,0,0.571428571428571,0,0,0,0,1,FALSE,1.75,3,0.142857142857143,3.66666666666667,0.19047619047619
"44","https://pcl-study1mod.github.io/?PROLIFIC_PID=5d1cc0603690a90017b7fde9&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da3637b7ddbdbc345022e","5d1cc0603690a90017b7fde9",21,NA,2,3,"Polish","Male","Windows",1920,1080,"Chrome","William says to Margaret: It's a beautiful day, isn't it?",0,"condition 2",2.6486,"15.0","3.0","20.0",5,1,5,8,8,2.192,3.451,2.851,4.684,2.112,24.266,16.896,10.617,8.966,5,3,2,1,4,2,1,1,1,1,6,1,3,3,3,9,1,0,0.263157894736842,0,0.105263157894737,0.105263157894737,0.105263157894737,0.421052631578947,0,1,FALSE,2.375,2.66666666666667,0.087719298245614,3,0.105263157894737
"45","https://pcl-study1mod.github.io/?PROLIFIC_PID=5f19c6e729636c04b583b5a3&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da2bafcee05fd209631ce","5f19c6e729636c04b583b5a3",19,NA,2,0,"Polish","Male","Windows",1920,1080,"Chrome","John says to Sarah: It's a beautiful day, isn't it?",0,"condition 2",5.45528333333333,"0.0","2.0","0.0",6,2,7,8,7,5.135,11.56,4.804,3.9,7.671,33.653,49.566,12.27,38.098,4,2,5,3,1,2,1,1,1,1,1,1,1,1,1,9,1,0,0,0,0,0,0,1,0,1,FALSE,1,1,0,1,0
"46","https://pcl-study1mod.github.io/?PROLIFIC_PID=5e6a961faa16f10453609c02&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da2e3997c61e603579e95","5e6a961faa16f10453609c02",21,NA,2,0,"Polish","Male","Windows",1536,864,"Chrome","Richard says to Jessica: It's a beautiful day, isn't it?",0,"condition 1",4.75696666666666,"11.0","6.0","0.0",5,2,6,5,4,8.368,6.039,2.699,2.355,3.122,39.069,20.391,24.664,70.107,1,5,3,4,2,3,1,1,0,3,3,1,6,3,3,2,1,0.142857142857143,0.142857142857143,0,0.357142857142857,0.142857142857143,0.142857142857143,0.0714285714285714,0,1,FALSE,1.75,2.33333333333333,0.0952380952380952,4,0.214285714285714
"47","https://pcl-study1mod.github.io/?PROLIFIC_PID=5e8a6bc9f2ece770c9ac195e&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da35237e8fa07f73b5df8","5e8a6bc9f2ece770c9ac195e",20,NA,1,3,"Portuguese","Male","Windows",1536,864,"Chrome","Richard says to Barbara: It's a beautiful day, isn't it?",0,"condition 2",3.06965,"40.0","10.0","60.0",3,3,1,6,5,2.784,4.735,5.718,2.592,3.479,33.434,18.903,6.326,8.442,3,2,1,4,5,2,1,1,1,1,5,1,7,4,2,9,7,0,0.142857142857143,0,0.214285714285714,0.107142857142857,0.0357142857142857,0.285714285714286,0.214285714285714,1,FALSE,3.5,2.33333333333333,0.0476190476190476,4.33333333333333,0.119047619047619
"48","https://pcl-study1mod.github.io/?PROLIFIC_PID=5dc7bbedd9873556278b4195&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da26a72cc64718da6d8a0","5dc7bbedd9873556278b4195",47,NA,1,2,"english","Female","Linux",1920,1080,"Chrome","Richard says to Jennifer: It's a beautiful day, isn't it?",0,"condition 1",4.92228333333333,"5.0","2.0","0.0",6,1,6,5,6,17.265,5.865,6.778,4.08,6.893,45.992,48.201,17.993,21.974,1,4,2,5,3,2,1,1,0,5,5,1,9,1,1,1,1,0.25,0.25,0,0.5,0,0,0,0,1,FALSE,2,3.66666666666667,0.166666666666667,3.66666666666667,0.166666666666667
"49","https://pcl-study1mod.github.io/?PROLIFIC_PID=5ffb1fac2fe88952da0873e0&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da2ae72cc64718da6d8a5","5ffb1fac2fe88952da0873e0",19,NA,1,0,"Afrikaans","Male","Windows",1536,864,"Chrome","James says to Patricia: It's a beautiful day, isn't it?",0,"condition 1",4.4718,"10.0","5.0","0.0",9,1,9,9,9,2.288,23.495,3.846,3.194,5.276,74.228,44.603,9.346,9.867,5,1,3,4,2,2,1,1,0,3,3,1,9,1,1,1,2,0.153846153846154,0.153846153846154,0,0.615384615384615,0,0,0,0.0769230769230769,1,FALSE,1.625,2.33333333333333,0.102564102564103,3.66666666666667,0.205128205128205
"50","https://pcl-study1mod.github.io/?PROLIFIC_PID=5fba752247aaee7c0e68e6d0&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da35fb216ee36d3f7d807","5fba752247aaee7c0e68e6d0",21,NA,2,0,"Portuguese","Female","Mac",1440,900,"Chrome","Michael says to Elizabeth: It's a beautiful day, isn't it?",0,"condition 1",3.05755,"8.0","2.0","15.0",3,6,4,5,4,8.487,3.413,3.59,3.02,6.47,23.649,36.524,5.525,9.205,1,2,5,3,4,2,1,1,0,6,7,1,9,1,1,1,7,0.2,0.24,0,0.32,0,0,0,0.24,1,FALSE,3.125,4.66666666666667,0.146666666666667,3.66666666666667,0.106666666666667
"51","https://pcl-study1mod.github.io/?PROLIFIC_PID=5ecd539a9871320a4c185708&STUDY_ID=606d9200d8d0edde519cf63b&SESSION_ID=606da3234994722ad716fe6c","5ecd539a9871320a4c185708",20,NA,2,3,"English, Portuguese","Male","Windows",1536,864,"Chrome","Joseph says to Mary: It's a beautiful day, isn't it?",0,"condition 2",4.07901666666666,"6.0","3.0","9.0",7,4,8,8,7,6.076,9.11,7.519,9.193,6.82,31.573,19.229,18.779,12.108,3,4,2,1,5,2,1,1,1,1,1,1,3,3,3,9,3,0,0,0,0.125,0.125,0.125,0.5,0.125,1,FALSE,2,1,0,3,0.125
