"","id","age","citizenship","ethnicity","year","degree","gender","condition","totalRT","causeRT","causeBlue","causePink","causeOrange","causeB&P","causeP&O","causeB&O","causeAll","causeOther","causeBlue_norm","causePink_norm","causeOrange_norm","causeB&P_norm","causeP&O_norm","causeB&O_norm","causeAll_norm","causeOther_norm","attentionRT","attentionBlue","attentionPink","attentionOrange","order","event","atomic","atomic_norm","two_conjunct","two_conjunct_norm"
"185",57,21,"ct","chinese",2,3,"Female","2V3R",18.0682,21.238,3,3,3,7,2,7,2,8,0.0740740740740741,0.0740740740740741,0.0740740740740741,0.222222222222222,0.037037037037037,0.222222222222222,0.037037037037037,0.259259259259259,3.994,1,1,1,2,"V",3,0.0740740740740741,5.33333333333333,0.160493827160494
"186",58,22,"ct","chinese",2,6,"Female","3R2V",6.782983333,34.621,3,7,3,3,3,3,3,4,0.0952380952380952,0.285714285714286,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.142857142857143,7.337,0,1,0,2,"R",4.33333333333333,0.158730158730159,3,0.0952380952380952
"187",59,19,"nc","other",1,3,"Female","R2V3",9.871433333,28.823,2,8,2,8,2,2,2,5,0.0434782608695652,0.304347826086957,0.0434782608695652,0.304347826086957,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.173913043478261,7.01,1,1,0,2,"2",4,0.130434782608696,4,0.130434782608696
"188",60,24,"ct","chinese",4,6,"Male","3R2V",10.08853333,33.396,1,7,1,7,1,1,1,5,0,0.375,0,0.375,0,0,0,0.25,19.683,1,1,0,2,"R",3,0.125,3,0.125
"189",61,NA,"nc","chinese",4,6,"Male","V23R",23.57891667,37.02,6,8,3,9,7,2,7,5,0.128205128205128,0.179487179487179,0.0512820512820513,0.205128205128205,0.153846153846154,0.0256410256410256,0.153846153846154,0.102564102564103,7.737,1,1,0,2,"2",5.66666666666667,0.11965811965812,6,0.128205128205128
"190",62,21,"ct","chinese",1,3,"Male","23RV",40.9505,65.003,4,8,3,7,2,2,9,1,0.107142857142857,0.25,0.0714285714285714,0.214285714285714,0.0357142857142857,0.0357142857142857,0.285714285714286,0,4.103,1,1,1,2,"3",5,0.142857142857143,3.66666666666667,0.0952380952380952
"191",63,21,"ct","chinese",3,3,"Female","V3R2",9.21565,22.099,5,5,5,6,6,6,8,5,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.5,0,6.71,1,1,1,2,"3",5,0,6,0.166666666666667
"192",64,23,"ct","chinese",3,3,"Male","23RV",8.565616667,14.375,1,9,1,1,1,1,1,1,0,1,0,0,0,0,0,0,5.957,1,1,1,2,"3",3.66666666666667,0.333333333333333,1,0
"193",1,22,"ct","chinese",2,5,"Female","R2V3",6.322583333,8.552,9,8,9,8,9,8,9,8,0.25,0,0.25,0,0.25,0,0.25,0,2.878,1,1,1,3,"V",8.66666666666667,0.166666666666667,8.33333333333333,0.0833333333333333
"194",2,23,"ct","chinese",4,4,"Female","RV23",7.933683333,20.782,2,5,2,4,4,1,1,2,0.0769230769230769,0.307692307692308,0.0769230769230769,0.230769230769231,0.230769230769231,0,0,0.0769230769230769,4.273,0,1,0,3,"2",3,0.153846153846154,3,0.153846153846154
"195",3,NA,"ct","chinese",3,6,"Female","V23R",21.7108,29.817,1,1,1,8,8,8,9,2,0,0,0,0.233333333333333,0.233333333333333,0.233333333333333,0.266666666666667,0.0333333333333333,6.22,1,1,1,3,"3",1,0,8,0.233333333333333
"196",4,20,"ct","chinese",2,3,"Female","3R2V",7.259166667,23.477,4,4,1,7,1,1,1,1,0.25,0.25,0,0.5,0,0,0,0,4.919,1,1,0,3,"2",3,0.166666666666667,3,0.166666666666667
"197",5,22,"ct","chinese",3,3,"Female","R2V3",8.043233333,14.447,1,9,1,1,1,1,1,4,0,0.727272727272727,0,0,0,0,0,0.272727272727273,4.682,1,1,1,3,"V",3.66666666666667,0.242424242424242,1,0
"198",6,24,"ct","chinese",4,6,"Male","3R2V",7.813433333,21.338,1,1,1,9,2,2,5,4,0,0,0,0.470588235294118,0.0588235294117647,0.0588235294117647,0.235294117647059,0.176470588235294,6.817,1,1,0,3,"2",1,0,4.33333333333333,0.196078431372549
"199",7,22,"ct","chinese",1,3,"Male","3R2V",8.8744,29.325,4,6,1,6,1,1,1,4,0.1875,0.3125,0,0.3125,0,0,0,0.1875,5.358,1,1,0,3,"2",3.66666666666667,0.166666666666667,2.66666666666667,0.104166666666667
"200",8,21,"ct","chinese",1,3,"Female","RV23",9.703733333,23.179,5,5,1,9,1,1,2,5,0.19047619047619,0.19047619047619,0,0.380952380952381,0,0,0.0476190476190476,0.19047619047619,6.283,1,1,0,3,"2",3.66666666666667,0.126984126984127,3.66666666666667,0.126984126984127
"201",9,24,"ct","chinese",4,6,"Male","3R2V",11.59553333,30.685,1,7,1,7,1,1,1,5,0,0.375,0,0.375,0,0,0,0.25,6.153,1,1,0,3,"2",3,0.125,3,0.125
"202",10,19,"ct","chinese",1,3,"Female","3RV2",34.83503333,29.914,1,1,1,9,9,1,1,1,0,0,0,0.5,0.5,0,0,0,7.177,1,1,1,3,"V",1,0,6.33333333333333,0.333333333333333
"203",11,20,"ct","chinese",2,3,"Female","23RV",10.15468333,28.748,1,9,4,9,1,1,1,1,0,0.421052631578947,0.157894736842105,0.421052631578947,0,0,0,0,8.523,1,1,0,3,"R",4.66666666666667,0.192982456140351,3.66666666666667,0.140350877192982
