"","id","age","citizenship","ethnicity","year","degree","gender","condition","totalRT","causeRT","causeBlue","causePink","causeOrange","causeB&P","causeP&O","causeB&O","causeAll","causeOther","causeBlue_norm","causePink_norm","causeOrange_norm","causeB&P_norm","causeP&O_norm","causeB&O_norm","causeAll_norm","causeOther_norm","attentionRT","attentionBlue","attentionPink","attentionOrange","intentH","intentB","event","order","atomic","atomic_norm","two_conjunct","two_conjunct_norm"
"123",51,NA,"-1","-1",-1,-1,NA,"UI",26.50925,84.174,6,6,6,6,6,6,9,4,0.121212121212121,0.121212121212121,0.121212121212121,0.121212121212121,0.121212121212121,0.121212121212121,0.212121212121212,0.0606060606060606,21.077,1,1,0,9,9,"U",1,6,0.121212121212121,6,0.121212121212121
"124",52,22,"nc","indian",1,6,"Male","IU",6.989066667,96.093,9,1,5,5,1,5,5,5,0.285714285714286,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,13.742,1,1,0,7,8,"U",2,5,0.142857142857143,3.66666666666667,0.0952380952380952
"125",53,21,"ct","chinese",3,3,"Female","UI",2.640866667,23.296,5,5,1,9,5,5,5,5,0.125,0.125,0,0.25,0.125,0.125,0.125,0.125,9.934,1,1,0,9,5,"U",1,3.66666666666667,0.0833333333333333,6.33333333333333,0.166666666666667
"126",54,23,"ct","chinese",4,3,"Female","UI",5.680133333,81.647,5,7,1,7,1,1,1,5,0.2,0.3,0,0.3,0,0,0,0.2,12.386,1,1,0,8,2,"U",1,4.33333333333333,0.166666666666667,3,0.1
"127",55,23,"ct","chinese",4,6,"Female","IU",5.65385,15.84,7,7,3,9,3,3,2,7,0.2,0.2,0.04,0.28,0.04,0.04,0,0.2,6.546,1,1,0,4,5,"U",2,5.66666666666667,0.146666666666667,5,0.12
"128",56,23,"ct","chinese",4,3,"Female","UI",3.253983333,43.355,2,8,1,8,1,1,1,1,0.0666666666666667,0.466666666666667,0,0.466666666666667,0,0,0,0,9.533,1,1,0,9,3,"U",1,3.66666666666667,0.177777777777778,3.33333333333333,0.155555555555556
"129",57,22,"ct","chinese",4,3,"Female","UI",80.23506667,64.169,3,3,1,7,2,2,7,6,0.0869565217391304,0.0869565217391304,0,0.260869565217391,0.0434782608695652,0.0434782608695652,0.260869565217391,0.217391304347826,14.964,1,1,0,7,6,"U",1,2.33333333333333,0.0579710144927536,3.66666666666667,0.115942028985507
"130",58,22,"ct","chinese",1,3,"Male","IU",2.506333333,17.591,1,7,1,8,1,1,1,1,0,0.461538461538462,0,0.538461538461538,0,0,0,0,5.297,1,1,0,9,9,"U",2,3,0.153846153846154,3.33333333333333,0.179487179487179
"131",59,21,"ct","chinese",3,3,"Female","UI",3.682,39.985,5,6,4,7,3,3,3,6,0.153846153846154,0.230769230769231,0.0769230769230769,0.307692307692308,0,0,0,0.230769230769231,12.939,0,1,0,7,4,"U",1,5,0.153846153846154,4.33333333333333,0.102564102564103
"132",60,NA,"-1","-1",-1,-1,NA,"IU",3.16315,33.008,1,1,1,9,1,1,5,8,0,0,0,0.421052631578947,0,0,0.210526315789474,0.368421052631579,5.267,1,1,0,9,2,"U",2,1,0,3.66666666666667,0.140350877192982
"133",61,22,"ct","chinese",4,3,"Female","UI",4.6025,44.128,1,6,1,9,5,5,9,1,0,0.172413793103448,0,0.275862068965517,0.137931034482759,0.137931034482759,0.275862068965517,0,17.422,1,1,0,9,2,"U",1,2.66666666666667,0.0574712643678161,6.33333333333333,0.183908045977011
"134",62,22,"ct","chinese",2,3,"Male","UI",9.572,48.36,6,7,1,8,2,2,1,5,0.208333333333333,0.25,0,0.291666666666667,0.0416666666666667,0.0416666666666667,0,0.166666666666667,16.332,1,1,0,9,7,"U",1,4.66666666666667,0.152777777777778,4,0.125
"135",63,21,"ct","chinese",2,4,"Female","IU",7.292166667,28.91,1,9,1,9,1,1,1,6,0,0.380952380952381,0,0.380952380952381,0,0,0,0.238095238095238,5.675,1,1,0,9,1,"U",2,3.66666666666667,0.126984126984127,3.66666666666667,0.126984126984127
"136",64,NA,"-1","-1",-1,-1,NA,"IU",4.706816667,36.282,6,7,2,8,2,2,2,7,0.2,0.25,0,0.3,0,0,0,0.25,7.043,1,1,0,7,5,"U",2,5,0.15,4,0.1
"137",65,21,"ct","chinese",3,3,"Female","UI",2.146416667,22.585,6,6,1,9,1,1,1,2,0.263157894736842,0.263157894736842,0,0.421052631578947,0,0,0,0.0526315789473684,12.457,1,0,0,7,4,"U",1,4.33333333333333,0.175438596491228,3.66666666666667,0.140350877192982
"138",66,23,"ct","chinese",4,6,"Female","UI",2.7065,22.901,4,4,1,9,1,1,1,1,0.214285714285714,0.214285714285714,0,0.571428571428571,0,0,0,0,8.653,1,1,0,8,4,"U",1,3,0.142857142857143,3.66666666666667,0.19047619047619
"139",67,NA,"-1","-1",-1,-1,NA,"UI",3.316066667,24.422,1,1,1,9,1,1,1,4,0,0,0,0.727272727272727,0,0,0,0.272727272727273,12.152,1,1,0,9,6,"U",1,1,0,3.66666666666667,0.242424242424242
"140",68,NA,"-1","-1",-1,-1,NA,"IU",2.54665,14.294,6,9,1,8,1,1,1,1,0.25,0.4,0,0.35,0,0,0,0,7.371,1,1,0,9,9,"U",2,5.33333333333333,0.216666666666667,3.33333333333333,0.116666666666667
"141",69,19,"ct","chinese",1,3,"Female","UI",2.2717,24.587,3,3,3,8,3,3,3,6,0.0625,0.0625,0.0625,0.375,0.0625,0.0625,0.0625,0.25,10.256,1,0,0,9,5,"U",1,3,0.0625,4.66666666666667,0.166666666666667
"142",70,23,"ct","chinese",4,5,"Female","UI",5.583883333,56.483,5,8,2,7,2,2,6,2,0.166666666666667,0.333333333333333,0,0.277777777777778,0,0,0.222222222222222,0,9.076,1,1,0,8,2,"U",1,5,0.166666666666667,3.66666666666667,0.0925925925925926
"143",71,23,"ct","chinese",2,3,"Male","IU",4.22335,20.845,1,7,1,5,1,1,1,6,0,0.4,0,0.266666666666667,0,0,0,0.333333333333333,6.6,1,1,0,9,1,"U",2,3,0.133333333333333,2.33333333333333,0.0888888888888889
"144",72,28,"ct","chinese",6,6,"Male","UI",3.440183333,49.545,3,6,2,7,2,2,2,2,0.1,0.4,0,0.5,0,0,0,0,16.165,1,1,0,8,2,"U",1,3.66666666666667,0.166666666666667,3.66666666666667,0.166666666666667
