"","id","age","citizenship","ethnicity","year","degree","gender","condition","totalRT","causeRT","causeBlue","causePink","causeOrange","causeB&P","causeP&O","causeB&O","causeAll","causeOther","causeBlue_norm","causePink_norm","causeOrange_norm","causeB&P_norm","causeP&O_norm","causeB&O_norm","causeAll_norm","causeOther_norm","attentionRT","attentionBlue","attentionPink","attentionOrange","intentH","intentB","event","order","atomic","atomic_norm","two_conjunct","two_conjunct_norm"
"45",45,20,"ct","chinese",2,3,"Female","IU",2.99125,30.083,7,7,1,9,1,1,3,6,0.222222222222222,0.222222222222222,0,0.296296296296296,0,0,0.0740740740740741,0.185185185185185,22.583,1,1,0,8,4,"I",1,5,0.148148148148148,3.66666666666667,0.0987654320987654
"46",46,25,"ct","chinese",6,6,"Female","UI",4.8701,34.924,6,6,1,9,1,1,1,7,0.208333333333333,0.208333333333333,0,0.333333333333333,0,0,0,0.25,5.524,1,1,0,9,7,"I",2,4.33333333333333,0.138888888888889,3.66666666666667,0.111111111111111
"47",47,23,"ct","chinese",4,3,"Female","IU",6.9759,37.216,6,9,4,9,3,5,9,9,0.1,0.2,0.0333333333333333,0.2,0,0.0666666666666667,0.2,0.2,9.719,1,1,0,9,9,"I",1,6.33333333333333,0.111111111111111,5.66666666666667,0.0888888888888889
"48",48,NA,"ct","chinese",3,3,"Male","UI",8.053016667,35.647,8,8,2,9,3,3,3,3,0.260869565217391,0.260869565217391,0,0.304347826086957,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,8.207,1,1,0,8,6,"I",2,6,0.173913043478261,5,0.130434782608696
"49",49,21,"ct","chinese",3,3,"Female","IU",5.39925,103.48,1,6,1,6,1,1,1,1,0,0.5,0,0.5,0,0,0,0,55.376,1,0,0,6,6,"I",1,2.66666666666667,0.166666666666667,2.66666666666667,0.166666666666667
"50",50,22,"nc","chinese",3,3,"Female","UI",2.4648,15.921,1,9,1,9,1,1,1,1,0,0.5,0,0.5,0,0,0,0,4.771,1,1,0,5,5,"I",2,3.66666666666667,0.166666666666667,3.66666666666667,0.166666666666667
"51",51,NA,"-1","-1",-1,-1,NA,"UI",26.50925,46.768,7,7,2,9,3,3,5,4,0.208333333333333,0.208333333333333,0,0.291666666666667,0.0416666666666667,0.0416666666666667,0.125,0.0833333333333333,9.888,1,1,0,9,9,"I",2,5.33333333333333,0.138888888888889,5,0.125
"52",52,22,"nc","indian",1,6,"Male","IU",6.989066667,101.358,1,9,5,1,8,5,1,7,0,0.275862068965517,0.137931034482759,0,0.241379310344828,0.137931034482759,0,0.206896551724138,26.98,1,1,0,7,8,"I",1,5,0.137931034482759,4.66666666666667,0.126436781609195
"53",53,21,"ct","chinese",3,3,"Female","UI",2.640866667,19.807,5,5,1,9,5,5,5,5,0.125,0.125,0,0.25,0.125,0.125,0.125,0.125,7.787,1,1,0,9,5,"I",2,3.66666666666667,0.0833333333333333,6.33333333333333,0.166666666666667
"54",54,23,"ct","chinese",4,3,"Female","UI",5.680133333,41.975,5,5,1,7,1,1,1,1,0.285714285714286,0.285714285714286,0,0.428571428571429,0,0,0,0,8.343,1,1,0,8,2,"I",2,3.66666666666667,0.19047619047619,3,0.142857142857143
"55",55,23,"ct","chinese",4,6,"Female","IU",5.65385,44.317,7,7,4,9,3,3,2,2,0.238095238095238,0.238095238095238,0.0952380952380952,0.333333333333333,0.0476190476190476,0.0476190476190476,0,0,12.775,0,1,0,4,5,"I",1,6,0.19047619047619,5,0.142857142857143
"56",56,23,"ct","chinese",4,3,"Female","UI",3.253983333,13.612,2,8,1,8,1,1,1,1,0.0666666666666667,0.466666666666667,0,0.466666666666667,0,0,0,0,8.33,1,1,0,9,3,"I",2,3.66666666666667,0.177777777777778,3.33333333333333,0.155555555555556
"57",57,22,"ct","chinese",4,3,"Female","UI",80.23506667,43.705,3,3,1,7,2,2,3,6,0.105263157894737,0.105263157894737,0,0.315789473684211,0.0526315789473684,0.0526315789473684,0.105263157894737,0.263157894736842,7.811,1,1,0,7,6,"I",2,2.33333333333333,0.0701754385964912,3.66666666666667,0.140350877192982
"58",58,22,"ct","chinese",1,3,"Male","IU",2.506333333,23.825,1,7,1,9,1,1,1,1,0,0.428571428571429,0,0.571428571428571,0,0,0,0,11.064,1,1,0,9,9,"I",1,3,0.142857142857143,3.66666666666667,0.19047619047619
"59",59,21,"ct","chinese",3,3,"Female","UI",3.682,18.36,4,7,3,7,3,3,3,5,0.0909090909090909,0.363636363636364,0,0.363636363636364,0,0,0,0.181818181818182,5.272,1,1,0,7,4,"I",2,4.66666666666667,0.151515151515152,4.33333333333333,0.121212121212121
"60",60,NA,"-1","-1",-1,-1,NA,"IU",3.16315,52.4,6,6,1,9,5,5,5,2,0.161290322580645,0.161290322580645,0,0.258064516129032,0.129032258064516,0.129032258064516,0.129032258064516,0.032258064516129,11.598,1,1,0,9,2,"I",1,4.33333333333333,0.10752688172043,6.33333333333333,0.172043010752688
"61",61,22,"ct","chinese",4,3,"Female","UI",4.6025,33.834,1,5,1,9,5,1,9,1,0,0.166666666666667,0,0.333333333333333,0.166666666666667,0,0.333333333333333,0,4.444,1,1,0,9,2,"I",2,2.33333333333333,0.0555555555555556,5,0.166666666666667
"62",62,22,"ct","chinese",2,3,"Male","UI",9.572,24.531,3,3,1,9,2,2,1,4,0.117647058823529,0.117647058823529,0,0.470588235294118,0.0588235294117647,0.0588235294117647,0,0.176470588235294,10.069,1,1,0,9,7,"I",2,2.33333333333333,0.0784313725490196,4.33333333333333,0.196078431372549
"63",63,21,"ct","chinese",2,4,"Female","IU",7.292166667,48.269,1,9,1,9,1,1,1,6,0,0.380952380952381,0,0.380952380952381,0,0,0,0.238095238095238,12.98,1,1,0,9,1,"I",1,3.66666666666667,0.126984126984127,3.66666666666667,0.126984126984127
"64",64,NA,"-1","-1",-1,-1,NA,"IU",4.706816667,41.256,7,8,2,8,2,2,2,3,0.277777777777778,0.333333333333333,0,0.333333333333333,0,0,0,0.0555555555555556,10.899,1,1,0,7,5,"I",1,5.66666666666667,0.203703703703704,4,0.111111111111111
"65",65,21,"ct","chinese",3,3,"Female","UI",2.146416667,14.2,6,6,1,9,1,1,1,2,0.263157894736842,0.263157894736842,0,0.421052631578947,0,0,0,0.0526315789473684,4.509,1,1,0,7,4,"I",2,4.33333333333333,0.175438596491228,3.66666666666667,0.140350877192982
"66",66,23,"ct","chinese",4,6,"Female","UI",2.7065,19.758,4,4,4,8,1,1,1,1,0.1875,0.1875,0.1875,0.4375,0,0,0,0,4.998,1,1,0,8,4,"I",2,4,0.1875,3.33333333333333,0.145833333333333
"67",67,NA,"-1","-1",-1,-1,NA,"UI",3.316066667,32.001,2,2,1,9,1,1,1,4,0.0769230769230769,0.0769230769230769,0,0.615384615384615,0,0,0,0.230769230769231,5.52,1,1,0,9,6,"I",2,1.66666666666667,0.0512820512820513,3.66666666666667,0.205128205128205
"68",68,NA,"-1","-1",-1,-1,NA,"IU",2.54665,42.166,6,9,1,8,1,1,1,1,0.25,0.4,0,0.35,0,0,0,0,13.734,1,1,0,9,9,"I",1,5.33333333333333,0.216666666666667,3.33333333333333,0.116666666666667
"69",69,19,"ct","chinese",1,3,"Female","UI",2.2717,11.505,2,2,2,9,2,2,2,4,0,0,0,0.777777777777778,0,0,0,0.222222222222222,5.865,1,1,0,9,5,"I",2,2,0,4.33333333333333,0.259259259259259
"70",70,23,"ct","chinese",4,5,"Female","UI",5.583883333,30.332,5,6,2,8,2,2,7,2,0.166666666666667,0.222222222222222,0,0.333333333333333,0,0,0.277777777777778,0,3.899,1,1,0,8,2,"I",2,4.33333333333333,0.12962962962963,4,0.111111111111111
"71",71,23,"ct","chinese",2,3,"Male","IU",4.22335,36.982,1,7,1,7,1,1,1,5,0,0.375,0,0.375,0,0,0,0.25,7.467,1,1,0,9,1,"I",1,3,0.125,3,0.125
"72",72,28,"ct","chinese",6,6,"Male","UI",3.440183333,21.675,4,7,2,7,2,2,2,2,0.166666666666667,0.416666666666667,0,0.416666666666667,0,0,0,0,5.571,1,1,0,8,2,"I",2,4.33333333333333,0.194444444444444,3.66666666666667,0.138888888888889
"73",1,22,"ct","chinese",4,3,"Female","IU",3.476616667,17.263,1,5,1,8,1,1,1,2,0,0.333333333333333,0,0.583333333333333,0,0,0,0.0833333333333333,9.035,1,1,0,6,6,"U",2,2.33333333333333,0.111111111111111,3.33333333333333,0.194444444444444
"74",2,20,"nc","chinese",1,3,"Male","UI",4.033383333,37.15,4,4,2,8,2,2,2,6,0.142857142857143,0.142857142857143,0,0.428571428571429,0,0,0,0.285714285714286,18.504,1,1,0,7,5,"U",1,3.33333333333333,0.0952380952380952,4,0.142857142857143
"75",3,18,"nc","chinese",1,3,"Female","IU",3.5338,21.104,1,9,1,9,1,1,1,3,0,0.444444444444444,0,0.444444444444444,0,0,0,0.111111111111111,6.614,1,1,0,9,1,"U",2,3.66666666666667,0.148148148148148,3.66666666666667,0.148148148148148
"76",4,NA,"-1","-1",-1,-1,NA,"IU",3.05675,26.647,1,7,5,7,1,1,1,5,0,0.3,0.2,0.3,0,0,0,0.2,5.87,1,1,0,8,2,"U",2,4.33333333333333,0.166666666666667,3,0.1
"77",5,23,"ct","chinese",3,3,"Hide","UI",3.560433333,49.333,3,3,1,9,3,3,8,5,0.0740740740740741,0.0740740740740741,0,0.296296296296296,0.0740740740740741,0.0740740740740741,0.259259259259259,0.148148148148148,11.443,1,1,0,5,5,"U",1,2.33333333333333,0.0493827160493827,5,0.148148148148148
"78",6,24,"ct","chinese",4,3,"Male","UI",3.626583333,47.979,1,7,1,7,1,1,1,3,0,0.428571428571429,0,0.428571428571429,0,0,0,0.142857142857143,14.217,0,1,0,8,8,"U",1,3,0.142857142857143,3,0.142857142857143
"79",7,22,"ct","chinese",3,3,"Female","IU",49.49083333,20.954,5,5,5,6,5,5,5,3,0.133333333333333,0.133333333333333,0.133333333333333,0.2,0.133333333333333,0.133333333333333,0.133333333333333,0,4.909,1,1,0,8,2,"U",2,5,0.133333333333333,5.33333333333333,0.155555555555556
"80",8,21,"ct","chinese",2,4,"Female","IU",2.32785,20.246,5,5,1,7,3,3,4,7,0.148148148148148,0.148148148148148,0,0.222222222222222,0.0740740740740741,0.0740740740740741,0.111111111111111,0.222222222222222,3.682,1,1,0,6,6,"U",2,3.66666666666667,0.0987654320987654,4.33333333333333,0.123456790123457
"81",9,21,"ct","chinese",1,3,"Male","UI",2.85355,33.299,2,8,1,8,1,1,1,9,0.0434782608695652,0.304347826086957,0,0.304347826086957,0,0,0,0.347826086956522,16.584,1,1,0,9,7,"U",1,3.66666666666667,0.115942028985507,3.33333333333333,0.101449275362319
"82",10,22,"ct","chinese",2,4,"Female","UI",3.061566667,32.85,2,5,1,5,2,2,5,5,0.0526315789473684,0.210526315789474,0,0.210526315789474,0.0526315789473684,0.0526315789473684,0.210526315789474,0.210526315789474,12.336,1,1,0,8,5,"U",1,2.66666666666667,0.087719298245614,3,0.105263157894737
"83",11,23,"ct","chinese",3,4,"Female","IU",2.1572,11.091,1,1,1,9,1,1,1,1,0,0,0,1,0,0,0,0,3.97,1,1,0,9,1,"U",2,1,0,3.66666666666667,0.333333333333333
"84",12,NA,"-1","-1",-1,-1,NA,"UI",3.3266,42.256,5,5,1,5,1,1,1,8,0.210526315789474,0.210526315789474,0,0.210526315789474,0,0,0,0.368421052631579,10.92,1,1,0,9,5,"U",1,3.66666666666667,0.140350877192982,2.33333333333333,0.0701754385964912
"85",13,19,"ct","chinese",1,3,"Female","IU",2.846616667,35.51,1,8,1,8,7,5,6,5,0,0.212121212121212,0,0.212121212121212,0.181818181818182,0.121212121212121,0.151515151515152,0.121212121212121,5.142,1,1,0,1,1,"U",2,3.33333333333333,0.0707070707070707,6.66666666666667,0.171717171717172
"86",14,23,"ct","chinese",4,6,"Female","IU",3.46885,25.688,3,6,1,8,1,1,1,2,0.133333333333333,0.333333333333333,0,0.466666666666667,0,0,0,0.0666666666666667,6.481,1,1,0,8,2,"U",2,3.33333333333333,0.155555555555556,3.33333333333333,0.155555555555556
"87",15,19,"ct","other",1,3,"Female","IU",5.9088,83.636,4,6,7,9,9,1,8,2,0.0789473684210526,0.131578947368421,0.157894736842105,0.210526315789474,0.210526315789474,0,0.184210526315789,0.0263157894736842,29.97,1,1,0,9,3,"U",2,5.66666666666667,0.12280701754386,6.33333333333333,0.140350877192982
"88",16,24,"ct","chinese",2,4,"Male","UI",2.922866667,35.176,4,8,1,8,1,1,1,6,0.136363636363636,0.318181818181818,0,0.318181818181818,0,0,0,0.227272727272727,18.006,1,1,0,8,3,"U",1,4.33333333333333,0.151515151515152,3.33333333333333,0.106060606060606
"89",17,25,"ct","chinese",4,6,"Male","IU",6.667483333,81.928,1,9,1,9,5,5,5,3,0,0.266666666666667,0,0.266666666666667,0.133333333333333,0.133333333333333,0.133333333333333,0.0666666666666667,5.68,1,1,0,6,1,"U",2,3.66666666666667,0.0888888888888889,6.33333333333333,0.177777777777778
"90",18,22,"ct","chinese",2,3,"Male","UI",4.519366667,46.828,6,6,1,7,2,2,6,6,0.178571428571429,0.178571428571429,0,0.214285714285714,0.0357142857142857,0.0357142857142857,0.178571428571429,0.178571428571429,10.954,1,1,0,7,4,"U",1,4.33333333333333,0.119047619047619,3.66666666666667,0.0952380952380952
"91",19,24,"ct","chinese",2,4,"Male","IU",2.462716667,14.281,5,5,1,8,1,1,1,6,0.2,0.2,0,0.35,0,0,0,0.25,4.814,1,1,0,8,2,"U",2,3.66666666666667,0.133333333333333,3.33333333333333,0.116666666666667
"92",20,24,"ct","chinese",2,4,"Male","UI",3.04,34.692,2,2,1,9,1,1,1,9,0.0555555555555556,0.0555555555555556,0,0.444444444444444,0,0,0,0.444444444444444,12.967,1,1,0,9,1,"U",1,1.66666666666667,0.037037037037037,3.66666666666667,0.148148148148148
"93",21,24,"ct","chinese",4,3,"Male","UI",3.8045,51.886,1,8,1,8,1,1,1,1,0,0.5,0,0.5,0,0,0,0,10.597,1,1,0,7,1,"U",1,3.33333333333333,0.166666666666667,3.33333333333333,0.166666666666667
"94",22,20,"pr","indian",1,3,"Female","UI",8.197783333,68.319,6,7,1,7,1,1,1,7,0.217391304347826,0.260869565217391,0,0.260869565217391,0,0,0,0.260869565217391,9.619,1,1,0,9,2,"U",1,4.66666666666667,0.159420289855072,3,0.0869565217391304
"95",23,21,"ct","chinese",3,3,"Female","UI",3.054716667,33.811,2,9,1,7,1,1,1,1,0.0666666666666667,0.533333333333333,0,0.4,0,0,0,0,14.047,1,1,0,9,6,"U",1,4,0.2,3,0.133333333333333
"96",24,19,"ct","chinese",1,3,"Female","IU",2.817633333,17.038,2,7,1,9,1,1,1,2,0.0625,0.375,0,0.5,0,0,0,0.0625,5.485,1,1,0,9,1,"U",2,3.33333333333333,0.145833333333333,3.66666666666667,0.166666666666667
"97",25,NA,"-1","-1",-1,-1,"Male","IU",4.447483333,33.734,7,7,2,9,2,2,3,3,0.222222222222222,0.222222222222222,0.037037037037037,0.296296296296296,0.037037037037037,0.037037037037037,0.0740740740740741,0.0740740740740741,4.815,1,1,0,9,7,"U",2,5.33333333333333,0.160493827160494,4.33333333333333,0.123456790123457
"98",26,25,"ct","chinese",4,3,"Male","UI",3.1757,42.174,7,7,7,5,5,5,2,5,0.185185185185185,0.185185185185185,0.185185185185185,0.111111111111111,0.111111111111111,0.111111111111111,0,0.111111111111111,13.4,1,1,1,8,6,"U",1,7,0.185185185185185,5,0.111111111111111
"99",27,21,"ct","chinese",2,3,"Female","UI",2.334433333,20.889,5,8,1,5,1,1,1,7,0.19047619047619,0.333333333333333,0,0.19047619047619,0,0,0,0.285714285714286,6.948,1,1,0,8,4,"U",1,4.66666666666667,0.174603174603175,2.33333333333333,0.0634920634920635
"100",28,22,"nc","chinese",1,6,"Female","UI",3.169083333,33.861,7,7,1,9,2,2,2,6,0.214285714285714,0.214285714285714,0,0.285714285714286,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.178571428571429,10.862,1,1,0,6,7,"U",1,5,0.142857142857143,4.33333333333333,0.119047619047619
"101",29,23,"ct","chinese",4,3,"Female","IU",6.5535,16.99,5,5,1,7,1,1,1,4,0.235294117647059,0.235294117647059,0,0.352941176470588,0,0,0,0.176470588235294,5.791,1,1,0,8,2,"U",2,3.66666666666667,0.156862745098039,3,0.117647058823529
